codigo,Nombre,ACC_deporte_tiempo_TransportePublico,ACC_deporte_tiempo_coche,ACC_educacion_tiempo_TransportePublico_Infantil_Publicos,ACC_educacion_tiempo_TransportePublico_Infantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Preinfantil_Publicos,ACC_educacion_tiempo_TransportePublico_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Primaria_Publicos,ACC_educacion_tiempo_TransportePublico_Primaria_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Secundaria_Publicos,ACC_educacion_tiempo_TransportePublico_Secundaria_PublicosPrivados,ACC_educacion_tiempo_coche_Infantil_Publicos,ACC_educacion_tiempo_coche_Infantil_PublicosPrivados,ACC_educacion_tiempo_coche_Preinfantil_Publicos,ACC_educacion_tiempo_coche_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_coche_Primaria_Publicos,ACC_educacion_tiempo_coche_Primaria_PublicosPrivados,ACC_educacion_tiempo_coche_Secundaria_Publicos,ACC_educacion_tiempo_coche_Secundaria_PublicosPrivados,ACC_farmacias_tiempo_TransportePublico,ACC_farmacias_tiempo_coche,ACC_gasolineras_tiempo_coche,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_OdontologiaEstomatologia,ACC_sanidad_tiempo_coche_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_coche_OfertaAsistencial_OdontologiaEstomatologia,ATR_ServiciosDeEducacion_ClusterPoblacion,ATR_ServiciosDeEducacion_ClusterEstadistica,ATR_CalidadDelAire_ClusterPoblacion,ATR_CalidadDelAire_ClusterEstadistica,ATR_TipologiaDePoblacion_ClusterPoblacion,ATR_TipologiaDePoblacion_ClusterEstadistica,ATR_AtractividadDeLosInmuebles_ClusterPoblacion,ATR_AtractividadDeLosInmuebles_ClusterEstadistica,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterPoblacion,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterEstadistica,ATR_DinamismosEconomico_ClusterPoblacion,ATR_DinamismosEconomico_ClusterEstadistica,OSM_supermercados_tiempo_coche,OSM_supermercados_tiempo_TransportePublico,IDE_PoblacionTotal,IDE_PrecioPorMetroCuadrado
28001,Acebeda (La),4.07,1.75,73.54,73.54,73.54,73.54,39.38,39.38,39.38,39.38,18.54,18.54,18.54,18.54,13.1,13.1,13.1,13.1,161.93,13.23,11.02,5.83,213.63,2.5,59.48,0.77,0.83,0.44,0.5,0.51,0.51,0.49,0.5,0.7,0.58,0.77,0.81,8,34,68,866
28002,Ajalvir,29.7,5.7,22.7,22.7,24.52,24.52,28.6,28.6,28.6,28.6,5.19,5.19,10.58,10.58,5.08,5.08,5.08,5.08,15.52,5.58,4.47,22.61,98.13,5.83,25.08,0.72,0.84,0.42,0.44,0.45,0.43,0.43,0.36,0.65,1.05,0.67,0.71,3,25,4946,2809
28003,Alameda del Valle,4.37,1.4,21.91,21.91,19.28,19.28,24.53,24.53,332.62,332.62,8.06,8.06,7.88,7.88,8.25,8.25,45.25,45.25,1.42,0.43,10.12,3.75,299.68,1.03,65.47,0.77,0.83,0.44,0.5,0.58,0.57,0.57,0.5,0.62,0.61,0.54,0.52,3,25,256,1055
28004,Alamo (El),7.93,2.28,8.41,8.41,9.48,9.48,7.33,7.33,6.8,6.8,3.25,3.25,2.37,2.37,4.13,4.13,2.55,2.55,8.18,6.35,5.27,5.78,107.8,3.67,28.9,0.67,0.67,0.43,0.59,0.57,0.62,0.47,0.53,0.6,0.64,0.45,0.45,3,25,10413,2180
28008,Aldea del Fresno,15.57,3.82,12.71,12.71,12.71,12.71,12.71,12.71,115.13,115.13,3.59,3.59,3.59,3.59,3.59,3.59,13.04,13.04,13.27,2.84,3.26,8.51,111.32,4.53,43.84,0.77,0.67,0.69,0.35,0.54,0.58,0.45,0.46,0.71,0.82,0.47,0.53,4,27,3422,1528
28009,Algete,17.33,4.5,24.79,24.79,19.27,19.27,26.28,26.28,26.99,26.99,6.95,6.95,5.6,5.6,7.41,7.41,7.14,7.14,10.6,3.42,3.94,53.46,14.9,10.96,4.03,0.71,0.72,0.42,0.54,0.55,0.55,0.52,0.52,0.58,0.58,0.54,0.54,4,27,21134,2222
28010,Alpedrete,13.7,4.4,15.83,15.83,27.69,27.69,15.61,15.61,26.39,26.39,5.47,5.47,11.22,11.22,5.66,5.66,7.32,7.32,9.78,3.05,4.35,13.1,26.77,3.56,11.49,0.67,0.67,0.4,0.68,0.55,0.53,0.55,0.56,0.71,0.4,0.55,0.54,3,25,15655,2506
28011,Ambite,11.83,2.08,9.79,9.79,9.79,9.79,104.16,104.16,181.1,181.1,1.52,1.52,1.52,1.52,9.81,9.81,11.18,11.18,9.54,1.68,7.16,11.61,148.48,1.65,43.67,0.92,0.88,0.6,0.42,0.53,0.55,0.45,0.44,0.46,0.57,0.49,0.54,11,39,701,1423
28012,Anchuelo,16.8,10.43,3.53,3.53,5.23,5.23,1.83,1.83,59.64,59.64,1.5,1.5,2.52,2.52,0.48,0.48,17.82,17.82,3.22,1.42,14.32,1.52,116.45,0.3,37.28,0.78,0.75,0.41,0.67,0.48,0.47,0.5,0.44,0.4,0.45,0.45,0.46,8,34,1393,1738
28015,Arroyomolinos,12.0,2.96,15.36,15.36,15.88,15.88,15.09,15.09,13.13,13.13,4.47,4.47,4.4,4.4,4.29,4.29,4.62,4.62,10.4,1.99,8.87,15.71,78.91,5.26,22.81,0.6,0.58,0.43,0.59,0.42,0.46,0.48,0.57,0.55,0.51,0.49,0.47,3,25,37299,2545
